"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"tablets_sell_2009","tablets_sell_2010","tablets_sell_2011","GDP_2009","GDP_2010","GDP_2011","population2011"
Afghanistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,13000000,17558265,14901,194419,514733,0,0,0,30577756
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Albania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3300,5600,11008,29791,392650,851000,1100000,1259590,1530244,1909885,2322436,1859632,2463741,2692372,3100000,11961,37773,16145,4543619309,4793518372,5033194290,3192723
Algeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,4781,4781,4781,1348,4691,11700,17400,18000,72000,86000,100000,450244,1446927,4882414,13661355,20997954,27562721,27031472,32729824,32780165,35615926,61774,245362,1012118,66189522629,69565187811,70956491567,34950168
American Samoa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,700,900,1200,1250,1300,1400,1500,1800,1992,2156,2036,2100,2250,,,,,,,,0,0,0,0,0,0,67312
Andorra,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,780,784,2825,5488,8618,14117,20600,23543,29429,32790,51893,58366,64560,69004,63503,64202,64549,65495,65044,342,784,605,1524990241,1615237069,1724910619,83677
Angola,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1824,1994,3298,7052,9820,24000,25806,75000,140000,350000,740000,1611118,3054620,4961536,6773356,8109421,8909200,9491000,4444,112362,11859,12382535739,14643778507,17680168881,18555115
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,15055
Antigua and Barbuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1300,1400,1500,8500,22000,25000,38205,46100,54000,86000,110177,112381,136592,134925,167970,162773,881,1626,1829,945770280,985378773,1116207501,87802
Argentina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46590,112000,241163,405395,667020,2009073,2670862,3848869,6487950,6741791,6566740,7842233,13512383,22156426,31510390,40401771,46508774,52482780,53700000,55000000,168423,334246,1625490,287258675094,313626005874,340177780212,40062470
Armenia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5000,7831,8161,17486,25504,71349,114379,203309,318044,1259762,1876411,1442000,2191500,3865354,3210802,12963,61681,89539,2986190081,3400246575,3849011238,3084979
Aruba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,1718,3000,3402,5380,12000,15000,53000,61800,69952,98389,103417,109030,113586,120806,128000,131800,,1065,231,0,0,0,0,106612
Australia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4423,31622,94529,184943,291459,497000,690000,1220000,2242000,3990000,4578000,4918000,6315000,8562000,11132000,12670000,14347000,16480000,18420000,19760000,21260000,22120000,22200000,22500000,24490000,136453,159046,715641,475578723953,489651768692,504739869397,21902300
Austria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,9762,19104,26223,36904,50721,73698,115402,172453,220859,278199,383535,598708,1159700,2292900,4250393,6117000,6541000,6736000,7274000,7992000,8665000,9281000,9912000,10816000,11434000,12241000,13022578,101257,65864,236047,203850083132,208743854863,216404316585,8369639
Azerbaijan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,6000,17000,40000,65000,370000,420400,730000,794200,1057100,1456523,2242000,3323500,4519000,6548000,7757120,9100113,10120105,53850,174382,114450,7853539689,9926874167,13351645755,9066604
Bahamas,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922,2020,2600,2401,,4100,4948,6200,8072,15911,31524,60555,121759,122228,186007,227771,252987,373999,358050,358812,428377,298790,2679,7056,4143,6643107971,6868660929,7041535773,338358
Bahrain,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,618,1712,2886,4251,5147,7354,9683,11360,17616,27600,40080,58543,92063,133468,205727,299587,388990,443109,649764,767103,907433,1115979,1440782,1401974,1567000,1693650,1504,16529,42433,9934584799,10709482414,11427017735,1169578
Bangladesh,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,1104,2500,4000,26000,75000,149000,279000,520000,1075000,1365000,2781560,9000000,19130983,34370000,44640000,52430000,68650000,85000000,454077,767778,1806904,57942340648,61393084272,65463038830,147030145
Barbados,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,796,1560,2967,4614,6283,8013,12000,20309,28467,53111,97193,140000,200138,206190,237119,257596,288662,337061,350061,347917,2412,1084,4081,2478549703,2557427999,2644872132,272750
Belarus,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,1724,5897,6548,8167,12155,23457,49353,138329,462630,1118000,2239287,4099500,5960000,6960000,8128000,9686200,10332900,10694900,45883,175562,149927,16715851678,18293979126,20123008725,9636016
Belgium,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,3798,7223,19154,30791,42880,51420,61460,67771,128071,235258,478172,974494,1756287,3186602,5629000,7697000,8101777,8605834,9131705,9604695,9847375,10738121,11341704,11775240,12154041,12540603,62216,175392,253782,247490005974,251845091555,258690550017,10660938
Belize,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,832,1547,2184,2544,3535,6591,16812,39155,51729,60403,75000,96000,118000,118314,160032,161783,194201,203050,10,2026,1798,1049766699,1081553523,1131878726,305398
Benin,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,2707,4295,6286,7269,55476,125000,218770,236175,459322,596267,1055727,2051776,3625366,5033349,7074914,7765206,7898,96599,111432,2650301482,2727160225,2838973721,8601771
Bermuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,745,1112,1440,1936,3400,5127,6324,7980,10276,12572,12800,13000,13333,30000,40000,49000,52720,60100,69000,79000,85000,88200,,152,855,0,3875730341,3952316191,4174472363,64802
Bhutan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255,19138,36000,82078,149439,253429,338938,394316,484189,2158,4319,6638,584394624,635666173,679205223,713665
Bolivia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1551,2659,4056,7229,33400,118433,239272,420344,582620,779917,1023333,1278844,1800789,2421402,2876143,3254410,5038600,6464390,7179293,8353273,27165,72915,192946,9363922319,9777941879,10246990606,9773441
Bosnia and Herzegovina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,9000,25181,52607,93386,444711,748780,1074790,1407441,1594367,1887820,2450425,3179036,3257239,3110233,3171283,11715,51310,8169,6679017387,7012968257,7447772288,3767683
Botswana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15190,92000,222190,332264,332264,444978,522840,563782,823070,1151761,1485791,1874101,2363411,2900263,1077,24095,13837,7160256353,7277848792,7651617602,1981576
Brazil,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,6700,32000,182000,574009,1285533,2498154,4550000,7368218,15032698,23188171,28745769,34880964,46373266,65605000,86210336,99918621,120980103,150641403,173959368,202944033,242231503,738029,262230,4907751,716959543489,739613124999,768867489436,193246610
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,23007
Brunei,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1772,3025,4103,8304,15623,35881,43524,45000,49129,66000,95000,143004,153647,177365,202454,232900,301400,366138,398857,412882,435104,443161,4122,210,2559,6623797619,6649465293,6941890187,391837
Bulgaria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,6500,20920,26588,70000,127000,350000,738000,1550000,2597548,3500869,4729731,6244922,8253416,9897477,10429012,10454822,10199942,10475083,23757,27245,312103,15839807530,16846951092,17952499282,7542674
Burkina Faso,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,1503,2730,5036,25245,76186,111013,238094,395939,633554,1016605,1858038,3024150,3823625,5707850,7682100,22019,104619,192465,3295911699,3581061359,3823420769,15984479
Burundi,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,378,564,561,619,620,800,16320,33416,52000,64000,100560,153000,200000,270000,480584,838414,1150500,1240000,1327,5936,29825,922031253,930329534,980424592,8170853
Cambodia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810,10239,14100,23098,33556,61345,89117,130547,223458,380000,498388,861500,1062000,1721650,2583318,4237000,6268000,8150764,10000000,8705,78923,16820,5042604253,5710753630,6325863882,13977903
Cameroon,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,2800,3500,4200,5000,6000,103279,417295,701507,1077000,1530868,2252508,3135946,4536000,6160893,8004120,8636652,10486614,22290,77216,310085,11815245845,12086601214,12476049222,19175028
Canada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,12000,60000,98364,202633,345178,583766,775831,1026611,1332982,1865779,2589780,3497779,4195000,5346000,6911038,8727000,10649000,11872000,13291000,15020000,17016600,18749100,20277400,22092500,23811900,24037372,25858318,19052,387560,474548,797853728386,821941389978,845145064427,33675448
